Sicil_ID,Hire Date,Termination Date,Gender,Seniority,Age Range,Education Level,Title,City
M00001,44259,,Male,D,39-45,Associate Degree,KK,mersin
M00002,43463,44803,Male,D,46-52,Master's Degree,PP,kahramanmaraþ
M00003,45454,,Male,C,32-38,Doctorate,TT,muþ
M00004,42408,44884,Male,G,32-38,Master's Degree,XX,istanbul
M00005,42483,44089,Male,E,18-24,Associate Degree,PP,ordu
M00006,42522,45575,Female,G,39-45,Master's Degree,XX,bingöl
M00007,44437,,Female,E,52+,Master's Degree,TT,kayseri
M00008,45583,,Male,B,52+,Master's Degree,KK,osmaniye
M00009,44116,,Male,D,25-31,Doctorate,TT,kütahya
M00010,42830,44711,Male,D,18-24,Doctorate,RR,uþak
M00011,45373,,Male,B,46-52,Bachelor's Degree,XX,erzurum
M00012,43560,,Female,D,52+,Bachelor's Degree,YY,çorum
M00013,45505,,Female,G,39-45,High School,TT,çankýrý
M00014,42219,43538,Male,F,25-31,High School,ZZ,bilecik
M00015,44901,,Female,C,46-52,Associate Degree,PP,þýrnak
M00016,43490,,Female,A,52+,Primary School,ZZ,uþak
M00017,45245,,Male,G,46-52,Bachelor's Degree,RR,yalova
M00018,43554,44572,Female,G,25-31,Primary School,KK,kahramanmaraþ
M00019,42579,43797,Female,G,25-31,High School,ZZ,ardahan
M00020,44946,45171,Male,C,39-45,Bachelor's Degree,YY,kirklareli
M00021,43298,,Female,G,39-45,High School,TT,kirikkale
M00022,43634,,Female,A,32-38,Doctorate,XX,bolu
M00023,43073,,Female,D,25-31,Doctorate,TT,trabzon
M00024,42355,43428,Female,E,52+,High School,ZZ,bartin
M00025,45162,,Female,A,52+,High School,TT,mardin
M00026,43986,,Female,C,32-38,Doctorate,ZZ,ankara
M00027,44764,,Male,G,39-45,Primary School,KK,siirt
M00028,42360,43517,Female,F,52+,Primary School,RR,kastamonu
M00029,45288,,Female,E,52+,Associate Degree,RR,þanliurfa
M00030,44932,,Male,B,32-38,Doctorate,KK,ankara
M00031,45269,,Male,B,32-38,Primary School,KK,bayburt
M00032,45172,,Male,D,32-38,Primary School,KK,erzurum
M00033,44109,,Male,B,46-52,Associate Degree,RR,yalova
M00034,42820,,Male,F,32-38,Primary School,TT,kirklareli
