Sicil_ID,Hire Date,Termination Date,City,Gender,Seniority,Age Range,Education Level,Title
M00001,2/24/2016,6/15/2023,Bolu,Female,B,25-31,Master's Degree,PP
M00002,8/1/2018,,Ankara,Male,B,39-45,Associate Degree,RR
M00003,6/12/2024,,Izmir,Male,B,39-45,Master's Degree,KK
M00004,1/7/2023,,Bolu,Female,E,32-38,High School,YY
M00005,8/31/2019,,Aydin,Male,A,25-31,Doctorate,TT
M00006,8/21/2023,,Aydin,Male,F,25-31,Doctorate,RR
M00007,8/29/2019,12/7/2024,Izmir,Male,G,52+,Associate Degree,XX
M00008,7/16/2017,,Istanbul,Male,A,25-31,Doctorate,RR
M00009,2/4/2016,9/17/2023,Istanbul,Male,F,25-31,Primary School,ZZ
M00010,5/26/2015,1/1/2024,Bolu,Female,D,25-31,High School,TT
M00011,7/28/2020,8/16/2021,Ankara,Male,A,52+,Associate Degree,RR
M00012,3/10/2018,,Istanbul,Male,E,52+,High School,KK
M00013,1/17/2024,,Izmir,Male,C,32-38,Bachelor's Degree,ZZ
M00014,8/18/2020,9/12/2023,Ankara,Male,B,18-24,Doctorate,RR
M00015,7/25/2017,3/25/2022,Bolu,Male,C,52+,High School,YY
M00016,6/19/2023,,Istanbul,Male,B,39-45,Bachelor's Degree,TT
M00017,1/24/2024,,Istanbul,Male,G,52+,Associate Degree,XX
M00018,4/29/2016,,Aydin,Male,A,52+,Master's Degree,ZZ
M00019,3/31/2019,7/3/2024,Aydin,Male,B,32-38,Bachelor's Degree,KK
M00020,5/10/2022,,Ankara,Male,C,18-24,High School,XX
M00021,4/24/2021,9/6/2023,Antalya,Male,A,25-31,High School,ZZ
M00022,5/12/2021,9/23/2021,Ankara,Male,G,46-52,Doctorate,PP
M00023,10/1/2020,10/30/2024,Ankara,Male,G,25-31,Doctorate,YY
M00024,3/5/2023,,Antalya,Male,C,25-31,Primary School,PP
M00025,5/10/2020,,Izmir,Male,E,39-45,High School,PP
M00026,1/26/2020,4/23/2022,Bolu,Male,F,32-38,Primary School,ZZ
M00027,11/16/2022,,Istanbul,Male,F,52+,Primary School,RR
M00028,4/17/2016,2/21/2017,Bolu,Male,A,18-24,Master's Degree,XX
M00029,7/30/2018,4/30/2021,Antalya,Male,E,25-31,Primary School,YY
M00030,12/20/2020,,Istanbul,Female,C,39-45,Doctorate,PP
M00031,11/30/2021,,Bolu,Female,G,46-52,Doctorate,TT
M00032,10/21/2021,,Ankara,Female,D,39-45,High School,ZZ
M00033,10/7/2020,2/13/2021,Ankara,Male,D,25-31,Doctorate,ZZ
M00034,9/22/2018,,Ankara,Female,F,52+,Doctorate,TT
M00035,10/2/2021,11/29/2022,Antalya,Male,D,39-45,Primary School,ZZ
M00036,11/10/2021,,Ankara,Male,B,39-45,Primary School,ZZ
M00037,1/1/2015,2/3/2023,Antalya,Female,A,32-38,Master's Degree,TT
M00038,4/7/2022,,Bolu,Male,A,18-24,Primary School,RR
M00039,9/18/2015,9/9/2020,Bolu,Male,G,46-52,High School,RR
M00040,5/26/2020,,Antalya,Female,B,18-24,Primary School,KK
M00041,4/25/2021,,Izmir,Male,G,52+,Bachelor's Degree,RR
M00042,5/10/2023,,Izmir,Male,C,46-52,Bachelor's Degree,RR
M00043,8/26/2017,3/23/2023,Ankara,Male,D,52+,Associate Degree,RR
M00044,10/3/2021,6/9/2022,Istanbul,Male,G,18-24,High School,YY
M00045,1/9/2021,5/9/2024,Istanbul,Female,A,25-31,High School,YY
M00046,2/4/2023,,Ankara,Male,G,18-24,High School,TT
M00047,12/16/2024,,Istanbul,Male,A,32-38,High School,XX
M00048,11/8/2020,,Istanbul,Male,D,32-38,Master's Degree,KK
M00049,5/3/2018,,Aydin,Female,C,25-31,Bachelor's Degree,YY
M00050,6/27/2022,,Bolu,Male,D,46-52,Primary School,ZZ
M00051,2/3/2016,1/15/2018,Antalya,Male,A,39-45,Bachelor's Degree,KK
M00052,3/21/2024,,Bolu,Male,C,32-38,High School,TT
M00053,12/6/2021,,Ankara,Male,G,39-45,Doctorate,KK
M00054,10/24/2015,6/23/2017,Aydin,Male,E,25-31,High School,TT
M00055,2/6/2022,6/18/2023,Antalya,Male,B,46-52,High School,XX
M00056,1/31/2020,10/10/2020,Ankara,Male,A,39-45,Master's Degree,KK
M00057,2/12/2016,,Ankara,Female,G,39-45,Associate Degree,RR
M00058,1/12/2015,7/23/2023,Aydin,Male,B,46-52,Master's Degree,ZZ
M00059,11/25/2020,,Aydin,Male,G,25-31,Primary School,ZZ
M00060,4/7/2023,,Ankara,Male,C,32-38,Primary School,TT
M00061,2/13/2020,,Ankara,Female,D,32-38,Doctorate,KK
M00062,4/3/2018,,Aydin,Male,B,32-38,High School,ZZ
